,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3792,Davie & Beach,49.287528,-123.142139,4b66044ff964a520a40e2be3,Akira Sushi,13276,Sushi Restaurant,182
3793,Davie & Beach,49.287528,-123.142139,5e5b1a0db4f5730008fea2e6,Café Portrait,13000,Dining and Drinking,139
3794,Davie & Beach,49.287528,-123.142139,5653e329498e22f9d5e35dac,Grotto,10000,Arts and Entertainment,140
3795,Davie & Beach,49.287528,-123.142139,5d8d70cb9103f600080aa56b,Big Bang Sushi,13276,Sushi Restaurant,141
3796,Davie & Beach,49.287528,-123.142139,633648bf5102e614a125765e,The Frying Pan,13055,Fried Chicken Joint,152
3797,Davie & Beach,49.287528,-123.142139,4aada3cff964a5201d6120e3,Nat's Pizzeria,13064,Pizzeria,191
3798,Davie & Beach,49.287528,-123.142139,4b5537e1f964a52003df27e3,Yummy to Go,13276,Sushi Restaurant,163
3799,Davie & Beach,49.287528,-123.142139,61d8d24a4c189458e3452cb2,Kesari Kitchen,13199,Indian Restaurant,169
3800,Davie & Beach,49.287528,-123.142139,5e645a0e0b66dc00082892ac,Ofra's Kitchen,13309,Middle Eastern Restaurant,177
3801,Davie & Beach,49.287528,-123.142139,552499b1498e8396bd7082d2,Kitaya,13276,Sushi Restaurant,179
3802,Davie & Beach,49.287528,-123.142139,5afd0c01ad910e002cfb1131,Pacifico Pizzeria & Ristorante,13064,Pizzeria,180
3803,Davie & Beach,49.287528,-123.142139,5b4e9037c9a517002cd3753d,Nat's New York Pizzaria,13064,Pizzeria,187
3804,Davie & Beach,49.287528,-123.142139,6258854dbf92f7404dc513e0,Thios,13177,Greek Restaurant,195
3805,Davie & Beach,49.287528,-123.142139,5b65160ac03635002c2ce08c,Shizenya on Denman,13276,Sushi Restaurant,196
3806,Davie & Beach,49.287528,-123.142139,633b788ba56b14066be66225,Bisou,13002,Bakery,209
3807,Davie & Beach,49.287528,-123.142139,4d700f427e16a35da00a9df9,Pure Delicious,13377,Vegan and Vegetarian Restaurant,243
3808,Morton & Denman,49.28803,-123.142135,4abbf55cf964a520ae8520e3,Marble Slab Creamery,13046,Ice Cream Parlor,72
3809,Morton & Denman,49.28803,-123.142135,4c773251f2473704719c65eb,Sylvia's Bar,13003,Bar,72
3810,Morton & Denman,49.28803,-123.142135,4ac6a6dff964a520a5b520e3,Mediterranean Grill,13064,Pizzeria,80
3811,Morton & Denman,49.28803,-123.142135,4abad180f964a520108320e3,Babylon Cafe,13144,Falafel Restaurant,74
3812,Morton & Denman,49.28803,-123.142135,4abef83df964a520a39020e3,Bayside Lounge,10000,Arts and Entertainment,89
3813,Morton & Denman,49.28803,-123.142135,4acfe023f964a52099d620e3,Starbucks,13035,Coffee Shop,108
3814,Morton & Denman,49.28803,-123.142135,51b3e9fd498edc9cb202bada,Shamrock Alley,13057,Gastropub,77
3815,Morton & Denman,49.28803,-123.142135,56ff4fa6498e3f0ebdbdbfe1,La Catrina Mexican Tacos,13306,Taco Restaurant,76
