,station_name,station_latitude,station_longitude,yelp_id,poi_name,poi_title,poi_rating,poi_review_count,poi_price,poi_distance
12,10th & Cambie,49.262487,-123.114397,u-tcnG8zdDG8QWYTctxyfg,Cactus Club Cafe,Canadian (New),3.5,140,2,221.48393348384232
13,10th & Cambie,49.262487,-123.114397,UC53PBtr2nwO19AGB8Wn4w,Benkei Noodle Shop,Ramen,3.5,175,2,183.77481657730516
14,10th & Cambie,49.262487,-123.114397,JoaCHPW7XMzZJDAjFKl3jg,Elephant Garden Creamery,Food Stands,4.5,124,1,3289.9777510663803
15,10th & Cambie,49.262487,-123.114397,3sTVFA9wQQT_7RTUj_g1rw,Donair Spot,Donairs,4.0,43,1,125.79493089866526
16,10th & Cambie,49.262487,-123.114397,uZOaRCd8SO5FudDmqcqq1A,Mr Japanese Curry,Japanese,4.0,34,2,151.29928704630774
17,10th & Cambie,49.262487,-123.114397,b_tRWRrMwOjS4-LXHaSwwg,Pepper Lunch,Japanese,3.5,79,2,242.48403439362832
18,10th & Cambie,49.262487,-123.114397,MQK-AA9xOFFLKBfd7bVSZw,Red Truck Beer,Breweries,4.0,84,2,1469.9474935833287
19,10th & Cambie,49.262487,-123.114397,1AA4EjIIXywxOSnbyZ9vLA,Pho Extreme Xe Lua,Vietnamese,2.5,101,1,98.30752414020043
20,Yaletown-Roundhouse Station,49.274566,-123.121817,NdEPf2Ls5Ql3_nkwjqKvXA,The Flying Pig,Canadian (New),4.0,1250,2,54.99091675773941
21,Yaletown-Roundhouse Station,49.274566,-123.121817,gV9lrbWr1CE1Jl0E58UO2g,Minami,Japanese,4.0,736,3,106.40429058156566
22,Yaletown-Roundhouse Station,49.274566,-123.121817,xYDUAD4JGLVnQUB2i8njBA,Rodney's Oyster House,Seafood,4.0,798,2,104.88414809738083
23,Yaletown-Roundhouse Station,49.274566,-123.121817,htvl5L_V-zKN0UvUgP60PQ,Robba da Matti,Italian,4.0,483,3,108.89878886640875
24,Yaletown-Roundhouse Station,49.274566,-123.121817,QmkGDL-8zexdKV3Xcn8ZYg,OEB Breakfast Co. Yaletown,Breakfast & Brunch,4.5,671,2,222.4819795578938
25,Yaletown-Roundhouse Station,49.274566,-123.121817,33vTX7D5up56a1dm_AGsUQ,Mister,Ice Cream & Frozen Yogurt,4.0,271,2,69.65783551392889
26,Yaletown-Roundhouse Station,49.274566,-123.121817,kZN_-zju67rEQVUSaewRhA,Brix & Mortar,Wine Bars,4.0,313,3,116.93293590649417
27,Yaletown-Roundhouse Station,49.274566,-123.121817,mkqiEUO9KZbYtFPaDGxT0w,MeeT in Yaletown,Comfort Food,4.0,159,2,32.13664150540246
28,Yaletown-Roundhouse Station,49.274566,-123.121817,d9j1BELXo1E8wdEiIQAzKw,Small Victory Bakery,Coffee & Tea,4.0,303,2,217.4414677558987
29,Yaletown-Roundhouse Station,49.274566,-123.121817,sPPMSEvhjkWcJUPA9DtX7w,Loving Hut Express,Vegan,4.5,63,1,76.260682917643
30,Yaletown-Roundhouse Station,49.274566,-123.121817,tdcbwxEP8JZfgx1NaRS9-g,Hapa Izakaya,Japanese,3.5,206,2,92.29918488875818
31,Yaletown-Roundhouse Station,49.274566,-123.121817,dF5qYrLOxp710HOSWhIZ9g,Coo Coo Coffee,Coffee & Tea,4.0,142,2,151.52458882953832
32,Yaletown-Roundhouse Station,49.274566,-123.121817,UwQyc3prSQp3pnvdSSmlaQ,Tasty Indian Bistro,Indian,4.0,194,2,158.53507215565813
33,Yaletown-Roundhouse Station,49.274566,-123.121817,Pi9WLGqYxCq-T_w2yUk5NA,Ganache Patisserie,Patisserie/Cake Shop,4.0,143,2,166.70964703555
34,Yaletown-Roundhouse Station,49.274566,-123.121817,yg2s2EA9Lnepuz36N7n_0g,Yaletown Brewing Company,American (Traditional),3.0,456,2,129.8930602768481
35,Yaletown-Roundhouse Station,49.274566,-123.121817,f7Sr6NKUtQYCZZSvYiNvtA,Cactus Club Cafe,Canadian (New),3.5,210,3,102.3135170238514
36,Yaletown-Roundhouse Station,49.274566,-123.121817,BvzP3ytN5VWLAelR5i-DYA,The Yaletown Distillery Bar + Kitchen,Italian,3.5,190,2,61.394753801350845
37,Yaletown-Roundhouse Station,49.274566,-123.121817,yRjZg5jkJP6fZDxl15BWQA,Provence Marinaside,Seafood,3.5,355,3,212.97592494120045
38,Yaletown-Roundhouse Station,49.274566,-123.121817,pzPNqJuBgkzDb9DV2fvjfQ,Salsa & Agave Mexican Grill,Mexican,3.5,205,2,52.499931119509554
39,Yaletown-Roundhouse Station,49.274566,-123.121817,0zErZVaaOhJUV1lNEqEc6Q,Bistro Sakana,Japanese,3.5,133,3,100.62593996862788
40,Dunsmuir & Beatty,49.279764,-123.110154,LjdbthVdtLYKSi7iVAFl0g,Jam Cafe on Beatty,Breakfast & Brunch,4.5,1306,2,65.35093516696821
41,Dunsmuir & Beatty,49.279764,-123.110154,_4R46MNkwx9MeOyt0YfNxA,Chambar,Belgian,4.0,1522,3,45.600507221473194
42,Dunsmuir & Beatty,49.279764,-123.110154,ljnjap6GNVMvS1DNzgDOYA,Caveman Cafe,Organic Stores,4.5,270,2,254.00529471883814
43,Dunsmuir & Beatty,49.279764,-123.110154,sUxHZhLvTrLE4eoewdv-ug,Pizzeria Ludica,Pizza,4.0,179,2,124.84525839443624
44,Dunsmuir & Beatty,49.279764,-123.110154,z2tHNBxoQ-_CoczbhzLNrQ,TAKO,Korean,4.0,212,1,170.24143735873815
45,Dunsmuir & Beatty,49.279764,-123.110154,cLGh_q9jWTpp53tsj29S-w,The Dirty Apron Delicatessen,Cafes,4.5,67,2,111.1698884229459
46,Dunsmuir & Beatty,49.279764,-123.110154,K7c5urKrmZ5CZeldngwzig,Devil's Elbow Ale & Smoke House,Gastropubs,3.5,191,2,58.9619594108565
47,Dunsmuir & Beatty,49.279764,-123.110154,rOHGRHbyDcwLEbDn0lIejg,Taishoken Ramen,Ramen,3.5,255,2,195.79279138147461
48,Dunsmuir & Beatty,49.279764,-123.110154,CjQMcgDgX_RdpSNby266oA,Tsuki Sushi Bar,Sushi Bars,4.0,193,2,226.14914623579384
49,Dunsmuir & Beatty,49.279764,-123.110154,7QxNOgk7pezCzruH8jL45w,Einstein Wrap House,Middle Eastern,4.5,62,1,219.40312100682985
50,Dunsmuir & Beatty,49.279764,-123.110154,7Y9dgVNnW6gxeEkdK-gzgg,Papparoti,Coffee & Tea,4.5,34,2,110.54217557938563
51,Dunsmuir & Beatty,49.279764,-123.110154,cq_L0RPXHZ2MjPEkWLRDCQ,Sushi Den,Japanese,3.0,165,2,180.9529738131496
52,Dunsmuir & Beatty,49.279764,-123.110154,Ebu8VPDeehcRbxzaDN5fDg,Charisma Cafe & Dessert House,Desserts,4.0,43,1,105.49456885049328
