,avg_poi_rating,avg_poi_review_count,avg_poi_price,avg_poi_distance,avg_poi_popularity,poi_popularity_sum,id,latitude,longitude,name,total_slots
33,3.9444444444444446,79.55555555555556,1.5555555555555556,212.0907448422212,310.44444444444446,2794.0,6ddeafa873279951630a00191333c45d,49.281506,-123.120101,Robson & Granville,30
34,4.0,57.0,2.0,242.2802170110356,228.0,228.0,c7b5bec0b2f4ab9a2d3f9d837725620c,49.276115,-123.114496,Expo & Smithe,14
35,4.0,29.5,2.0,286.5370819523306,118.0,236.0,b9fd847d53fe45658fee4c46e7f562b8,49.272827,-123.147744,Cypress & Cornwall,22
36,3.111111111111111,86.55555555555556,1.6666666666666667,254.93325919572413,295.44444444444446,2659.0,c2be5403b1c101e8032cf6696457200e,49.269361,-123.13782,Anderson & 2nd,28
37,3.8125,73.0,1.75,232.09554507210845,288.6875,2309.5,71c064fa93cab5f0b7306e6c923b77c4,49.2653,-123.13811,7th & Granville,15
38,3.55,113.1,1.7,177.48206513487293,414.675,8293.5,96bf713e60bc35cc2feb5fd53a4f3471,49.262598,-123.138921,10th & Granville,14
39,3.825,169.85,1.75,494.02645131211295,626.65,12533.0,8dc684732a2a25bdf63ec0ecccee4e6e,49.25894,-123.139272,14th & Granville,14
40,3.411764705882353,97.47058823529412,1.588235294117647,219.11282984747962,335.6470588235294,5706.0,686c0fdb962e26e274d81fc286c010dd,49.258763,-123.115392,14th & Cambie,14
41,3.75,62.0,2.0,274.2561952176401,225.0,450.0,0cf6cd1809fa7f510812f5b052f578c4,49.266724,-123.104824,Ontario & 5th,21
42,3.775,143.55,1.75,395.42384279789496,530.95,10619.0,93c88a18c673e2c72a6afa93d6b89f18,49.262141,-123.101961,10th & Main,18
43,2.9642857142857144,84.85714285714286,1.3571428571428572,146.8149485555902,293.67857142857144,4111.5,8fb5ce1e34ad31de940481953aea452c,49.268269,-123.147885,Cypress & 4th,18
44,3.5,76.75,1.5,148.63917228143794,304.0,2432.0,aa704bfba40286bd0661b64d1f75e778,49.275717,-123.142564,Vanier Park,28
